"Distribution Center","Vendor#","Vendor Name","Date From","Date Thru","Total Due","Bid","Bid Description","Item","Pack","Size","Description","UPC","Vendor Item#","Contract ID","Qty","Each","Allowance","Extended Amt","Invoice Date","Invoice#","Customer#","Customer Name","Qty","Guar Cost","Actual Cost","Allowance","Extended Amt"
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,39829 ,120 ,2 OZ   ,PENNANT  PASTRY DGH PUFF SQ 5 X 5 IN FZ ,'10019025110141,11014               ,ARYZTA              ,1      ,0      ,9.28                ,                9.28,03/14/2022,4322980   ,98675     ,THE WILLOWS                   ,1      ,40.79               ,50.07               ,9.28                ,9.28
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,263003,24  ,4 OZ   ,SUPREME  MUFFIN BLUBRY CRUMB T&S FZ     ,'10013087062011,6201                ,                    ,1      ,0      ,5.73                ,                5.73,02/28/2022,4314773   ,98675     ,THE WILLOWS                   ,1      ,18.40               ,24.13               ,5.73                ,5.73
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,295713,60  ,4 OZ   ,OTIS SPU?MUFFIN VAR IW FZ               ,'10013087012658,1265                ,ARYZTA              ,0      ,0      ,.00                 ,                 .00,03/16/2022,4324605   ,99591     ,MIZPAH MANOR                  ,0      ,50.34               ,62.05               ,11.71               ,.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/16/2022,4324398   ,4680      ,AUTUMN OAKS CARING CENTER     ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/29/2022,4331758   ,15165     ,CAPE ALBEON - VILLAGE         ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/14/2022,4322943   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/09/2022,4320370   ,99659     ,SHADY OAKS HEALTHCARE CTR     ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/08/2022,4319542   ,103445    ,LAKEVIEW HEALTH CARE &        ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,02/28/2022,4314890   ,142945    ,SARAH COMMUNITY, THE          ,2      ,33.96               ,43.93               ,9.97                ,19.94
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/03/2022,4317109   ,150909    ,THE COMMUNITIES OF WILDWO     ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999314,320 ,1 OZ   ,VAL ZONE COOKIE DGH PEANUT BUTTER TFF   ,'10013087581055,58105               ,ARYZTA              ,9      ,0      ,9.97                ,               89.73,03/30/2022,4332348   ,198939    ,COTTON POINT LIVING CTR       ,1      ,33.96               ,43.93               ,9.97                ,9.97
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/15/2022,4323461   ,94615     ,HEARTLAND CARE & REHAB        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/02/2022,4316454   ,94620     ,HEART OF THE OZARKS           ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/18/2022,4325887   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,04/01/2022,4333733   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/21/2022,4327015   ,98815     ,CLINTON HEALTHCARE &          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/09/2022,4320403   ,99553     ,THE MANOR                     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/16/2022,4324392   ,99659     ,SHADY OAKS HEALTHCARE CTR     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/29/2022,4331549   ,103445    ,LAKEVIEW HEALTH CARE &        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/08/2022,4319458   ,113820    ,MAYWOOD TERRACE LIVING CT     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/02/2022,4316490   ,133460    ,PUXICO NURSING & REHAB CT     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/14/2022,4322851   ,137310    ,RIDGE CREST NURSING HOME      ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/17/2022,4325073   ,137660    ,RIVER OAKS CARE CENTER        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/31/2022,4332950   ,137660    ,RIVER OAKS CARE CENTER        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/14/2022,4323207   ,142945    ,SARAH COMMUNITY, THE          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/24/2022,4329476   ,142945    ,SARAH COMMUNITY, THE          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/09/2022,4320362   ,198097    ,SOUTHGATE LIVING CENTER       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/22/2022,4327622   ,215707    ,HICKORY MANOR                 ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/24/2022,4329082   ,55034764  ,WESTGATE                      ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/09/2022,4320373   ,4680      ,AUTUMN OAKS CARING CENTER     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/23/2022,4328404   ,4680      ,AUTUMN OAKS CARING CENTER     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/01/2022,4315578   ,15160     ,CAPE ALBEON - HARBOR          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/22/2022,4327880   ,15165     ,CAPE ALBEON - VILLAGE         ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/15/2022,4323461   ,94615     ,HEARTLAND CARE & REHAB        ,1      ,32.83               ,40.60               ,7.77                ,7.77
